Participant_ID,trialN,blockN,moveCount,movesTrial,reward,RT,time_out,sequence_ID
2,19.0,1.0,4.0,"[1, 1, 2, 2]",100.0,918.9799999999814,0,19.0
2,0.0,2.0,4.0,"[1, 1, 2, 2]",92.0,1682.1400000001304,0,19.0
2,1.0,2.0,4.0,"[0, 1, 1, 0]",96.0,784.4399999997113,0,4.0
2,2.0,2.0,4.0,"[1, 1, 2, 2]",94.0,978.8200000000652,0,19.0
2,3.0,2.0,4.0,"[1, 1, 2, 1]",62.0,1142.4599999999627,0,18.0
2,4.0,2.0,4.0,"[1, 1, 2, 2]",82.0,826.8999999999069,0,19.0
2,5.0,2.0,4.0,"[1, 1, 2, 2]",74.0,2052.8600000003353,0,19.0
2,6.0,2.0,4.0,"[2, 1, 1, 2]",40.0,4534.5,0,31.0
2,7.0,2.0,4.0,"[0, 1, 1, 0]",94.0,851.0400000000373,0,4.0
2,8.0,2.0,4.0,"[0, 1, 1, 0]",86.0,847.8200000000652,0,4.0
2,9.0,2.0,4.0,"[1, 1, 0, 0]",14.0,3225.179999999935,0,16.0
2,10.0,2.0,3.0,"2,1,1",0.0,5851.0200000002515,1,
2,11.0,2.0,4.0,"[1, 1, 0, 1]",14.0,2525.0,0,17.0
2,12.0,2.0,4.0,"[0, 1, 1, 0]",92.0,811.1400000001304,0,4.0
2,13.0,2.0,4.0,"[0, 1, 1, 0]",98.0,819.1999999999534,0,4.0
2,14.0,2.0,4.0,"[0, 1, 1, 0]",86.0,870.3799999998882,0,4.0
2,15.0,2.0,4.0,"[0, 1, 1, 0]",94.0,771.1999999999534,0,4.0
2,16.0,2.0,4.0,"[2, 1, 1, 2]",10.0,1327.1200000001118,0,31.0
2,17.0,2.0,4.0,"[0, 1, 1, 0]",82.0,1699.0999999998603,0,4.0
